,National_ID,Age,Gender,Region,Income_Level,Household_Dependents,Monthly_Energy_Consumption_kWh,Subsidy_Eligibility,Subsidy_Type,Amount_NGN,Channel,Date,Wallet_Activity_Status,Wallet_Balance_NGN,Days_Since_Last_Transaction,Avg_Monthly_Wallet_Balance,Suspected_Fraud
58,ID00006,25,Female,Kaduna,Middle,4,86,0,Cash Transfer,5290,Mobile Wallet,2020-09-18,Inactive,6654.0,8.0,4128.0,1
108,ID00012,28,Female,Rivers,Low,6,63,1,Cash Transfer,8287,Mobile Wallet,2022-02-28,Suspicious,3309.0,93.0,4918.0,1
148,ID00016,41,Male,Yobe,Middle,6,73,0,Cash Transfer,5756,Mobile Wallet,2023-04-28,Inactive,3894.0,62.0,2918.0,1
173,ID00018,39,Male,Yobe,Low,3,79,0,Cash Transfer,7458,Mobile Wallet,2019-12-29,Inactive,6418.0,74.0,3735.0,1
178,ID00019,19,Female,Rivers,Middle,1,88,0,Cash Transfer,5589,Mobile Wallet,2022-05-29,Suspicious,2593.0,64.0,3634.0,1
204,ID00022,47,Female,Lagos,Low,7,52,1,Cash Transfer,6659,Mobile Wallet,2023-05-22,Inactive,3235.0,75.0,5963.0,1
245,ID00027,29,Female,Oyo,Low,3,86,0,Cash Transfer,6037,Mobile Wallet,2020-11-23,Suspicious,7378.0,5.0,3744.0,1
276,ID00030,42,Female,Kano,Middle,3,93,0,Cash Transfer,4692,Mobile Wallet,2019-01-17,Inactive,4218.0,4.0,3436.0,1
277,ID00031,66,Female,Rivers,Low,2,96,0,Fuel,4921,Mobile Wallet,2022-03-22,Inactive,1943.0,33.0,2974.0,1
316,ID00035,33,Male,Lagos,Low,1,84,0,Cash Transfer,6571,Mobile Wallet,2019-12-11,Inactive,4435.0,37.0,4163.0,1
317,ID00035,33,Male,Lagos,Low,1,84,0,Cash Transfer,6062,Mobile Wallet,2020-10-21,Inactive,3072.0,49.0,3128.0,1
333,ID00037,64,Female,Kano,Middle,5,88,0,Cash Transfer,5757,Mobile Wallet,2020-06-15,Inactive,7026.0,64.0,5504.0,1
335,ID00038,68,Female,Yobe,Low,2,137,0,Fuel,5066,Mobile Wallet,2021-09-12,Suspicious,5696.0,53.0,2430.0,1
350,ID00041,20,Male,Rivers,Middle,9,109,0,Cash Transfer,4927,Mobile Wallet,2020-09-11,Inactive,4927.0,58.0,4261.0,1
