,National_ID,Age,Gender,Region,Income_Level,Household_Dependents,Monthly_Energy_Consumption_kWh,Subsidy_Eligibility,Subsidy_Type,Amount_NGN,Channel,Date,Wallet_Activity_Status,Wallet_Balance_NGN,Days_Since_Last_Transaction,Avg_Monthly_Wallet_Balance,Suspected_Fraud,Age_Group,Dependency_Group
0,ID00001,56,Male,Lagos,Low,4,151,1,Food,2977,Mobile Wallet,2022-01-04,Active,4373.0,16.0,5986.0,0,46-60,Medium (3-5)
1,ID00001,56,Male,Lagos,Low,4,151,1,Food,2689,Bank Account,2020-12-20,No Wallet,0.0,0.0,0.0,0,46-60,Medium (3-5)
2,ID00001,56,Male,Lagos,Low,4,151,1,Food,3251,Mobile Wallet,2022-06-05,Active,3353.0,76.0,2276.0,0,46-60,Medium (3-5)
3,ID00001,56,Male,Lagos,Low,4,151,1,Cash Transfer,6065,Mobile Wallet,2021-05-23,Active,5090.0,55.0,4347.0,0,46-60,Medium (3-5)
4,ID00001,56,Male,Lagos,Low,4,151,1,Food,3201,Mobile Wallet,2023-09-17,Inactive,7870.0,3.0,5906.0,0,46-60,Medium (3-5)
5,ID00001,56,Male,Lagos,Low,4,151,1,Fuel,4186,Bank Account,2019-11-05,No Wallet,0.0,0.0,0.0,0,46-60,Medium (3-5)
6,ID00001,56,Male,Lagos,Low,4,151,1,Food,3558,Cash Pickup,2022-08-27,No Wallet,0.0,0.0,0.0,0,46-60,Medium (3-5)
7,ID00001,56,Male,Lagos,Low,4,151,1,Food,3485,Mobile Wallet,2021-03-07,Active,3003.0,49.0,3309.0,0,46-60,Medium (3-5)
8,ID00001,56,Male,Lagos,Low,4,151,1,Fuel,5108,Bank Account,2021-09-10,No Wallet,0.0,0.0,0.0,0,46-60,Medium (3-5)
9,ID00001,56,Male,Lagos,Low,4,151,1,Cash Transfer,8088,Cash Pickup,2020-10-11,No Wallet,0.0,0.0,0.0,0,46-60,Medium (3-5)
10,ID00001,56,Male,Lagos,Low,4,151,1,Cash Transfer,6964,Bank Account,2019-03-14,No Wallet,0.0,0.0,0.0,0,46-60,Medium (3-5)
11,ID00001,56,Male,Lagos,Low,4,151,1,Fuel,5689,Mobile Wallet,2020-09-14,Active,4207.0,94.0,3973.0,0,46-60,Medium (3-5)
12,ID00001,56,Male,Lagos,Low,4,151,1,Cash Transfer,6816,Cash Pickup,2019-07-30,No Wallet,0.0,0.0,0.0,0,46-60,Medium (3-5)
13,ID00001,56,Male,Lagos,Low,4,151,1,Food,2701,Bank Account,2020-09-26,No Wallet,0.0,0.0,0.0,0,46-60,Medium (3-5)
14,ID00002,69,Female,Oyo,Middle,7,39,0,Fuel,4170,Cash Pickup,2023-03-16,No Wallet,0.0,0.0,0.0,0,60+,High (6-8)
15,ID00002,69,Female,Oyo,Middle,7,39,0,Food,2039,Bank Account,2020-10-10,No Wallet,0.0,0.0,0.0,0,60+,High (6-8)
16,ID00002,69,Female,Oyo,Middle,7,39,0,Cash Transfer,5624,Bank Account,2021-06-06,No Wallet,0.0,0.0,0.0,0,60+,High (6-8)
17,ID00002,69,Female,Oyo,Middle,7,39,0,Cash Transfer,5667,Cash Pickup,2021-06-23,No Wallet,0.0,0.0,0.0,0,60+,High (6-8)
18,ID00002,69,Female,Oyo,Middle,7,39,0,Food,2114,Bank Account,2023-08-31,No Wallet,0.0,0.0,0.0,0,60+,High (6-8)
19,ID00002,69,Female,Oyo,Middle,7,39,0,Fuel,3320,Cash Pickup,2022-09-23,No Wallet,0.0,0.0,0.0,0,60+,High (6-8)
20,ID00002,69,Female,Oyo,Middle,7,39,0,Fuel,4183,Cash Pickup,2019-09-26,No Wallet,0.0,0.0,0.0,0,60+,High (6-8)
21,ID00002,69,Female,Oyo,Middle,7,39,0,Fuel,3285,Mobile Wallet,2020-08-12,Active,7566.0,91.0,4782.0,0,60+,High (6-8)
22,ID00002,69,Female,Oyo,Middle,7,39,0,Fuel,3327,Cash Pickup,2019-06-18,No Wallet,0.0,0.0,0.0,0,60+,High (6-8)
23,ID00002,69,Female,Oyo,Middle,7,39,0,Cash Transfer,5806,Mobile Wallet,2023-01-31,Active,3176.0,35.0,4282.0,0,60+,High (6-8)
24,ID00002,69,Female,Oyo,Middle,7,39,0,Fuel,3500,Bank Account,2023-06-11,No Wallet,0.0,0.0,0.0,0,60+,High (6-8)
25,ID00002,69,Female,Oyo,Middle,7,39,0,Cash Transfer,5068,Cash Pickup,2019-04-11,No Wallet,0.0,0.0,0.0,0,60+,High (6-8)
26,ID00002,69,Female,Oyo,Middle,7,39,0,Food,2076,Cash Pickup,2019-05-08,No Wallet,0.0,0.0,0.0,0,60+,High (6-8)
